circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_1.txt,gmw,64,128,64,1.7474714303870338e-12,0.19,1.24,0,0,1,0
adder_1.txt,gmw,64,128,64,1.7199153156581087e-12,0.2,1.25,0,0,1,0
adder_1.txt,gmw,64,128,64,1.737120660333393e-12,0.2,1.25,0,0,1,0
adder_1.txt,gmw,64,256,128,1.7627389765688595e-12,0.22,1.25,0,0,1,0
adder_1.txt,gmw,64,256,128,1.7629823046113154e-12,0.22,1.26,0,0,1,0
adder_1.txt,gmw,64,256,128,1.7766580812006248e-12,0.22,1.25,0,0,1,0
adder_1.txt,gmw,64,512,256,1.79388998762691e-12,0.26,1.25,0,0,1,0
adder_1.txt,gmw,64,512,256,1.7840244575047484e-12,0.26,1.26,0,0,1,0
adder_1.txt,gmw,64,512,256,1.7859935627201583e-12,0.26,1.26,0,0,1,0
adder_1.txt,gmw,128,128,64,4.9063905938723336e-23,0.23,1.25,0,0,1,0
adder_1.txt,gmw,128,128,64,4.5360528956179975e-23,0.22,1.27,0,0,1,0
adder_1.txt,gmw,128,128,64,4.522774508135745e-23,0.22,1.26,0,0,1,0
adder_1.txt,gmw,128,256,128,4.6460349119183465e-23,0.26,1.26,0,0,1,0
adder_1.txt,gmw,128,256,128,4.6879944426808517e-23,0.26,1.28,0,0,1,0
adder_1.txt,gmw,128,256,128,4.699147791477627e-23,0.26,1.3,0,0,1,0
adder_1.txt,gmw,128,512,256,4.743363032657937e-23,0.35,1.27,0,0,1,0
adder_1.txt,gmw,128,512,256,4.7369989322122724e-23,0.36,1.27,0,0,1,0
adder_1.txt,gmw,128,512,256,4.740261549753683e-23,0.35,1.27,0,0,1,0
adder_1.txt,gmw,64,128,64,1.6834066646218201e-12,0.19,1.29,0,0,2,0
adder_1.txt,gmw,64,128,64,1.7506118815938458e-12,0.21,1.25,0,0,2,0
adder_1.txt,gmw,64,128,64,1.7325650522065117e-12,0.2,1.25,0,0,2,0
adder_1.txt,gmw,64,256,128,1.7793558317107822e-12,0.22,1.26,0,0,2,0
adder_1.txt,gmw,64,256,128,1.768099334777387e-12,0.23,1.26,0,0,2,0
adder_1.txt,gmw,64,256,128,1.7632256635445854e-12,0.22,1.25,0,0,2,0
adder_1.txt,gmw,64,512,256,1.7864861512270772e-12,0.26,1.26,0,0,2,0
adder_1.txt,gmw,64,512,256,1.7778838647804821e-12,0.27,1.3,0,0,2,0
adder_1.txt,gmw,64,512,256,1.788950968419881e-12,0.27,1.27,0,0,2,0
adder_1.txt,gmw,128,128,64,4.5082891023528764e-23,0.22,1.26,0,0,2,0
adder_1.txt,gmw,128,128,64,4.5606772367524896e-23,0.22,1.27,0,0,2,0
adder_1.txt,gmw,128,128,64,4.387022631158752e-23,0.22,1.25,0,0,2,0
adder_1.txt,gmw,128,256,128,4.6522817553021775e-23,0.26,1.26,0,0,2,0
adder_1.txt,gmw,128,256,128,4.639316539586226e-23,0.26,1.26,0,0,2,0
adder_1.txt,gmw,128,256,128,4.636919379877829e-23,0.27,1.28,0,0,2,0
